Accuracy,Precision,Recall,F1,AUROC,Kappa,MCC,Balanced accuracy,algorithm,Evaluation,fold,cancer_type,classes,pos_class,variant_group,variant_type,breakpoint_type
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.39999999999999997,-0.15384615384615397,-0.15811388300841897,0.425,RF,Cross-validation,1,lung,RES vs NONRES,RES,cnv,del,quantile
0.1111111111111111,0.0,0.0,0.0,0.14999999999999997,-0.7999999999999998,-0.8,0.1,NB,Cross-validation,1,lung,RES vs NONRES,RES,cnv,del,quantile
0.2222222222222222,0.0,0.0,0.0,0.35,-0.6153846153846154,-0.6324555320336759,0.2,LR,Cross-validation,1,lung,RES vs NONRES,RES,cnv,del,quantile
0.4444444444444444,0.4,0.5,0.4444444444444445,0.325,-0.09756097560975618,-0.1,0.45,kNN,Cross-validation,1,lung,RES vs NONRES,RES,cnv,del,quantile
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.35,-0.15384615384615397,-0.15811388300841897,0.425,RF,Cross-validation,2,lung,RES vs NONRES,RES,cnv,del,quantile
0.5555555555555556,0.5,0.5,0.5,0.49999999999999994,0.10000000000000009,0.1,0.55,NB,Cross-validation,2,lung,RES vs NONRES,RES,cnv,del,quantile
0.6666666666666666,1.0,0.25,0.4,1.0,0.2702702702702702,0.3952847075210474,0.625,LR,Cross-validation,2,lung,RES vs NONRES,RES,cnv,del,quantile
0.8888888888888888,1.0,0.75,0.8571428571428571,0.875,0.7692307692307692,0.7905694150420948,0.875,kNN,Cross-validation,2,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,RF,Cross-validation,3,lung,RES vs NONRES,RES,cnv,del,quantile
0.875,1.0,0.75,0.8571428571428571,0.8125,0.75,0.7745966692414834,0.875,NB,Cross-validation,3,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,1.0,0.25,0.4,0.875,0.25,0.3779644730092272,0.625,LR,Cross-validation,3,lung,RES vs NONRES,RES,cnv,del,quantile
0.75,0.75,0.75,0.75,0.6875,0.5,0.5,0.75,kNN,Cross-validation,3,lung,RES vs NONRES,RES,cnv,del,quantile
0.75,0.75,0.75,0.75,0.875,0.5,0.5,0.75,RF,Cross-validation,4,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.5,0.25,0.3333333333333333,0.6875,0.0,0.0,0.5,NB,Cross-validation,4,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,1.0,0.25,0.4,0.8125,0.25,0.3779644730092272,0.625,LR,Cross-validation,4,lung,RES vs NONRES,RES,cnv,del,quantile
0.75,0.75,0.75,0.75,0.625,0.5,0.5,0.75,kNN,Cross-validation,4,lung,RES vs NONRES,RES,cnv,del,quantile
