Accuracy,Precision,Recall,F1,AUROC,Kappa,MCC,Balanced accuracy,algorithm,cv,fold,cancer_type,classes,pos_class,variant_group,variant_type,breakpoint_type
0.5555555555555556,0.5,0.75,0.6,0.6749999999999999,0.1428571428571429,0.15811388300841897,0.575,RF,None,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,1.0,0.25,0.4,0.5,0.2702702702702702,0.3952847075210474,0.625,NB,None,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.25,0.3333333333333333,0.45,0.052631578947368474,0.05976143046671968,0.525,LR,None,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.3333333333333333,0.25,0.25,0.25,0.375,-0.34999999999999987,-0.35,0.325,kNN,None,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.5,0.10000000000000009,0.1,0.55,RF,None,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.6000000000000001,0.1428571428571429,0.15811388300841897,0.575,NB,None,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.6499999999999999,0.1428571428571429,0.15811388300841897,0.575,LR,None,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.7777777777777778,0.6666666666666666,1.0,0.8,0.85,0.5714285714285714,0.6324555320336759,0.8,kNN,None,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,1.0,0.25,0.4,1.0,0.25,0.3779644730092272,0.625,RF,None,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,1.0,0.25,0.4,0.75,0.25,0.3779644730092272,0.625,NB,None,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.25,0.3333333333333333,0.25,0.0,0.0,0.5,LR,None,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.625,0.6,0.75,0.6666666666666665,0.46875,0.25,0.2581988897471611,0.625,kNN,None,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.3333333333333333,0.25,0.28571428571428575,0.4375,-0.25,-0.2581988897471611,0.375,RF,None,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.0,0.0,0.0,0.375,-0.25,-0.3779644730092272,0.375,NB,None,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.0,0.0,0.0,0.3125,0.0,0.0,0.5,LR,None,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,kNN,None,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.25,0.3333333333333333,0.28571428571428575,0.2666666666666666,-0.25,-0.2581988897471611,0.3666666666666667,RF,None,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.25,0.2857142857142857,0.6666666666666666,0.4,0.4666666666666667,-0.26315789473684204,-0.4879500364742666,0.3333333333333333,NB,None,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.25,0.3333333333333333,0.28571428571428575,0.3333333333333333,-0.25,-0.2581988897471611,0.3666666666666667,LR,None,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3999999999999999,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,kNN,None,5,lung,RES vs NONRES,RES,cnv,del,supervised
0.3333333333333333,0.25,0.25,0.25,0.225,-0.34999999999999987,-0.35,0.325,RF,None,6,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.55,0.10000000000000009,0.1,0.55,NB,None,6,lung,RES vs NONRES,RES,cnv,del,supervised
