feature,F train,p-value train,F test,p-value test,cancer_type,classes,pos_class
quantile_cnv_del__0_22167,5.890138920622796,0.019823546050535577,0.0008264889715342154,0.9774205384308342,lung,RES vs NONRES,RES
quantile_cnv_del__22167_34486,2.128915223806035,0.15235187612275625,2.9629629629629606,0.10446616410261655,lung,RES vs NONRES,RES
quantile_cnv_del__34486_50848,3.916961289118175,0.05471354648317207,0.06944444444444287,0.7955111195647913,lung,RES vs NONRES,RES
quantile_cnv_del__50848_70340,4.919494665955687,0.0322976439002693,1.0494945139188347,0.3208637550103244,lung,RES vs NONRES,RES
quantile_cnv_del__70340_92699,0.6877490819336566,0.4118528361919467,0.1522034556396809,0.7015832162524989,lung,RES vs NONRES,RES
quantile_cnv_del__92699_125398,4.273005547335776,0.04523572508908092,0.0014864362690461476,0.9697226784406878,lung,RES vs NONRES,RES
quantile_cnv_del__125398_157462,3.5039325716088627,0.06854812856212562,0.03022788995158804,0.8641548652063753,lung,RES vs NONRES,RES
quantile_cnv_del__157462_193731,7.268290386754572,0.010217268496601506,1.1387073347857657,0.3017630509892137,lung,RES vs NONRES,RES
quantile_cnv_del__193731_243571,0.6194170994922188,0.4359025391597473,0.47932656598167844,0.49865311734766093,lung,RES vs NONRES,RES
quantile_cnv_del__243571_312262,1.7587739285728525,0.19230061822702763,0.5387205387205385,0.4735828676920708,lung,RES vs NONRES,RES
quantile_cnv_del__312262_394657,0.804728388666965,0.37505104818153456,0.6937669376693774,0.41714654863128453,lung,RES vs NONRES,RES
quantile_cnv_del__394657_493237,1.4060173344019673,0.2427149035930601,0.04197027105799952,0.840259950956203,lung,RES vs NONRES,RES
quantile_cnv_del__493237_624229,2.127050284239928,0.1525270252469339,0.5192107995846312,0.4815743091225472,lung,RES vs NONRES,RES
quantile_cnv_del__624229_784955,1.0553863379945234,0.3104423658763301,0.011676701331871837,0.9152925476745377,lung,RES vs NONRES,RES
quantile_cnv_del__784955_1038487,0.14686101045047822,0.7035825195124991,0.012844527696012522,0.9111758648443824,lung,RES vs NONRES,RES
quantile_cnv_del__1038487_1358998,2.0813024430601734,0.15689835782105094,0.04034789768925889,0.8433331047790598,lung,RES vs NONRES,RES
quantile_cnv_del__1358998_1713926,1.5824726466824768,0.21569905784357798,0.008933556672249937,0.9258716542393868,lung,RES vs NONRES,RES
quantile_cnv_del__1713926_2104452,1.2846533374044748,0.2637834378888688,0.12977463444753154,0.723377227458691,lung,RES vs NONRES,RES
quantile_cnv_del__2104452_2607396,1.3335391793605056,0.2550289063997038,0.22078287806251784,0.644784409150029,lung,RES vs NONRES,RES
quantile_cnv_del__2607396_3304558,1.6767043842601987,0.2027875948572957,0.23797025371828553,0.6322930992381216,lung,RES vs NONRES,RES
quantile_cnv_del__3304558_4095408,2.3765939215115455,0.13104072151900265,0.048829098156451756,0.8279086428347903,lung,RES vs NONRES,RES
quantile_cnv_del__4095408_5169328,1.8586769121999274,0.18040240164426644,0.5649452269170582,0.4631882354325054,lung,RES vs NONRES,RES
quantile_cnv_del__5169328_6366574,1.4733675635731573,0.23193362436851922,0.4761610544743081,0.5000538808855411,lung,RES vs NONRES,RES
quantile_cnv_del__6366574_7847031,0.6957962681895417,0.40915381878233803,0.17481380666137375,0.6814262520217644,lung,RES vs NONRES,RES
quantile_cnv_del__7847031_9636012,0.613341284698849,0.4381450456820428,1.059976479811839,0.31853384119275674,lung,RES vs NONRES,RES
quantile_cnv_del__9636012_11770690,0.6805335989162962,0.4142957329354706,1.0953669176963758,0.3108393673139423,lung,RES vs NONRES,RES
quantile_cnv_del__11770690_15073994,0.7762069235357759,0.3835670061201131,1.537753775377538,0.23283146903222163,lung,RES vs NONRES,RES
quantile_cnv_del__15073994_18920219,0.14842825630689271,0.7020830958501934,0.3534018600097897,0.5605067873646487,lung,RES vs NONRES,RES
quantile_cnv_del__18920219_22978026,0.36120911705198194,0.5512262739455525,0.00031683795718752324,0.9860185297247736,lung,RES vs NONRES,RES
quantile_cnv_del__22978026_28101194,0.21808586040324343,0.6430361595278717,0.07146112478352017,0.7926363093327972,lung,RES vs NONRES,RES
quantile_cnv_del__28101194_33751970,0.030700945023932974,0.8617932015632718,0.4489337822671155,0.5123967365775894,lung,RES vs NONRES,RES
quantile_cnv_del__33751970_41766961,1.0326949645282095,0.3156341183647391,0.3409050889241056,0.5674482342836795,lung,RES vs NONRES,RES
quantile_cnv_del__41766961_55184580,0.03620737649257819,0.850050301017498,0.1169780666125109,0.7367866421277732,lung,RES vs NONRES,RES
quantile_cnv_del__55184580_80573727,0.01992508932763157,0.8884550041189004,0.01222680727495005,0.9133285921156278,lung,RES vs NONRES,RES
quantile_cnv_del__80573727_inf,0.0006606141200959045,0.979622499157351,1.3746885282011039,0.258169806232863,lung,RES vs NONRES,RES
total_quantile_cnv_del_,2.243960548195479,0.14198774703963402,0.09269206779011946,0.7647064240112037,lung,RES vs NONRES,RES
frac_quantile_cnv_del__0_22167,0.9169792593795113,0.3440216955508796,0.004751667332120534,0.9458976233229427,lung,RES vs NONRES,RES
frac_quantile_cnv_del__22167_34486,0.2320631657939878,0.6326234949483807,0.892820489827533,0.35876567935210046,lung,RES vs NONRES,RES
frac_quantile_cnv_del__34486_50848,0.13595580979634367,0.714279533599152,0.3263983891194983,0.5757256576356748,lung,RES vs NONRES,RES
frac_quantile_cnv_del__50848_70340,0.7925541785961753,0.3786523493676197,1.2345396440545962,0.2829444445599806,lung,RES vs NONRES,RES
frac_quantile_cnv_del__70340_92699,3.290365598464953,0.07719401652365858,1.0781151435990886,0.31455748432891173,lung,RES vs NONRES,RES
frac_quantile_cnv_del__92699_125398,9.04340073294033e-05,0.9924597597808428,2.632991416410262,0.1242002143978753,lung,RES vs NONRES,RES
frac_quantile_cnv_del__125398_157462,0.06430387224603146,0.8011173375829409,0.15400795237480608,0.699912761610113,lung,RES vs NONRES,RES
frac_quantile_cnv_del__157462_193731,3.4659284839618225,0.07000434295184961,0.5764551549505607,0.4587457282808076,lung,RES vs NONRES,RES
