Accuracy,Precision,Recall,F1,AUROC,Kappa,MCC,Balanced accuracy,algorithm,fracs_counts,fold,cancer_type,classes,pos_class,variant_group,variant_type,breakpoint_type
0.3333333333333333,0.25,0.25,0.25,0.375,-0.34999999999999987,-0.35,0.325,RF,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",1,lung,RES vs NONRES,RES,cnv,del,quantile
0.2222222222222222,0.0,0.0,0.0,0.3,-0.6153846153846154,-0.6324555320336759,0.2,NB,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",1,lung,RES vs NONRES,RES,cnv,del,quantile
0.2222222222222222,0.0,0.0,0.0,0.35,-0.6153846153846154,-0.6324555320336759,0.2,LR,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",1,lung,RES vs NONRES,RES,cnv,del,quantile
0.3333333333333333,0.25,0.25,0.25,0.42500000000000004,-0.34999999999999987,-0.35,0.325,kNN,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",1,lung,RES vs NONRES,RES,cnv,del,quantile
0.5555555555555556,0.5,0.5,0.5,0.6,0.10000000000000009,0.1,0.55,RF,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",2,lung,RES vs NONRES,RES,cnv,del,quantile
0.6666666666666666,1.0,0.25,0.4,0.55,0.2702702702702702,0.3952847075210474,0.625,NB,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",2,lung,RES vs NONRES,RES,cnv,del,quantile
0.7777777777777778,1.0,0.5,0.6666666666666666,0.5,0.5263157894736843,0.5976143046671968,0.75,LR,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",2,lung,RES vs NONRES,RES,cnv,del,quantile
0.7777777777777778,1.0,0.5,0.6666666666666666,0.9,0.5263157894736843,0.5976143046671968,0.75,kNN,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",2,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.375,0.25,0.2581988897471611,0.625,RF,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",3,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,1.0,0.25,0.4,0.6875,0.25,0.3779644730092272,0.625,NB,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",3,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.625,0.25,0.2581988897471611,0.625,LR,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",3,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.65625,0.25,0.2581988897471611,0.625,kNN,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",3,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.6875,0.25,0.2581988897471611,0.625,RF,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",4,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,1.0,0.25,0.4,0.875,0.25,0.3779644730092272,0.625,NB,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",4,lung,RES vs NONRES,RES,cnv,del,quantile
0.75,1.0,0.5,0.6666666666666666,1.0,0.5,0.5773502691896258,0.75,LR,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",4,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.71875,0.25,0.2581988897471611,0.625,kNN,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",4,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.25,0.3333333333333333,0.28571428571428575,0.26666666666666666,-0.25,-0.2581988897471611,0.3666666666666667,RF,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",5,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.0,0.0,0.0,0.19999999999999998,-0.4285714285714286,-0.4472135954999579,0.3,NB,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",5,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.5,0.3333333333333333,0.4,0.4666666666666667,0.1428571428571429,0.14907119849998599,0.5666666666666667,LR,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",5,lung,RES vs NONRES,RES,cnv,del,quantile
0.25,0.0,0.0,0.0,0.23333333333333328,-0.6000000000000001,-0.6,0.2,kNN,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",5,lung,RES vs NONRES,RES,cnv,del,quantile
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.49999999999999994,-0.15384615384615397,-0.15811388300841897,0.425,RF,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",6,lung,RES vs NONRES,RES,cnv,del,quantile
0.5555555555555556,0.5,0.25,0.3333333333333333,0.45,0.052631578947368474,0.05976143046671968,0.525,NB,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",6,lung,RES vs NONRES,RES,cnv,del,quantile
0.3333333333333333,0.0,0.0,0.0,0.35,-0.42105263157894735,-0.47809144373375745,0.3,LR,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",6,lung,RES vs NONRES,RES,cnv,del,quantile
0.8888888888888888,1.0,0.75,0.8571428571428571,0.95,0.7692307692307692,0.7905694150420948,0.875,kNN,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",6,lung,RES vs NONRES,RES,cnv,del,quantile
0.6666666666666666,0.6,0.75,0.6666666666666665,0.6499999999999999,0.3414634146341463,0.35,0.675,RF,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",7,lung,RES vs NONRES,RES,cnv,del,quantile
0.7777777777777778,1.0,0.5,0.6666666666666666,0.85,0.5263157894736843,0.5976143046671968,0.75,NB,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",7,lung,RES vs NONRES,RES,cnv,del,quantile
0.7777777777777778,0.75,0.75,0.75,0.8,0.55,0.55,0.775,LR,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",7,lung,RES vs NONRES,RES,cnv,del,quantile
0.5555555555555556,0.5,0.75,0.6,0.675,0.1428571428571429,0.15811388300841897,0.575,kNN,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",7,lung,RES vs NONRES,RES,cnv,del,quantile
0.75,0.75,0.75,0.75,0.8125,0.5,0.5,0.75,RF,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",8,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,1.0,0.25,0.4,0.875,0.25,0.3779644730092272,0.625,NB,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",8,lung,RES vs NONRES,RES,cnv,del,quantile
0.75,1.0,0.5,0.6666666666666666,0.9375,0.5,0.5773502691896258,0.75,LR,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",8,lung,RES vs NONRES,RES,cnv,del,quantile
0.875,1.0,0.75,0.8571428571428571,0.96875,0.75,0.7745966692414834,0.875,kNN,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",8,lung,RES vs NONRES,RES,cnv,del,quantile
0.25,0.25,0.25,0.25,0.1875,-0.5,-0.5,0.25,RF,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",9,lung,RES vs NONRES,RES,cnv,del,quantile
0.125,0.0,0.0,0.0,0.125,-0.75,-0.7745966692414834,0.125,NB,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",9,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.5,0.25,0.3333333333333333,0.4375,0.0,0.0,0.5,LR,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",9,lung,RES vs NONRES,RES,cnv,del,quantile
0.25,0.25,0.25,0.25,0.21875,-0.5,-0.5,0.25,kNN,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",9,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.5,0.6666666666666666,0.5714285714285715,0.8,0.25,0.2581988897471611,0.6333333333333333,RF,"{'include_counts': True, 'include_fracs': False, 'include_total': True}",10,lung,RES vs NONRES,RES,cnv,del,quantile
