Accuracy,Precision,Recall,F1,AUROC,Kappa,MCC,Balanced accuracy,algorithm,only_peaks,fold,cancer_type,classes,pos_class,variant_group,variant_type,breakpoint_type
0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.6499999999999999,-0.04651162790697683,-0.05976143046671968,0.475,RF,True,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.6666666666666666,1.0,0.25,0.4,0.35,0.2702702702702702,0.3952847075210474,0.625,NB,True,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.25,0.3333333333333333,0.45000000000000007,0.052631578947368474,0.05976143046671968,0.525,LR,True,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.5,0.5,0.5499999999999999,0.10000000000000009,0.1,0.55,kNN,True,1,lung,RES vs NONRES,RES,cnv,del,supervised
0.3333333333333333,0.0,0.0,0.0,0.5,-0.42105263157894735,-0.47809144373375745,0.3,RF,True,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.6000000000000001,0.1428571428571429,0.15811388300841897,0.575,NB,True,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.5555555555555556,0.5,0.75,0.6,0.6499999999999999,0.1428571428571429,0.15811388300841897,0.575,LR,True,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.8888888888888888,0.8,1.0,0.888888888888889,0.8250000000000001,0.7804878048780488,0.8,0.9,kNN,True,2,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,1.0,0.5,0.6666666666666666,0.84375,0.5,0.5773502691896258,0.75,RF,True,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,NB,True,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.25,0.3333333333333333,0.3125,0.0,0.0,0.5,LR,True,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,1.0,0.5,0.6666666666666666,0.5,0.5,0.5773502691896258,0.75,kNN,True,3,lung,RES vs NONRES,RES,cnv,del,supervised
0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,RF,True,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.375,0.0,0.0,0.0,0.4375,-0.25,-0.3779644730092272,0.375,NB,True,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.0,0.0,0.0,0.4375,0.0,0.0,0.5,LR,True,4,lung,RES vs NONRES,RES,cnv,del,supervised
0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,kNN,True,4,lung,RES vs NONRES,RES,cnv,del,supervised
