cancer_type,classes,pos_class,variant_group,variant_type,breakpoint_type,repetition,extraction_time
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,0,0.316726923
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,1,0.369547367
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,2,0.36877799
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,3,0.359934568
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,4,0.31474638
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,5,0.326348782
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,6,0.319179773
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,7,0.317047358
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,8,0.332896948
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,9,0.323242426
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,10,0.316149712
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,11,0.326225281
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,12,0.337611437
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,13,0.324577332
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,14,0.30426693
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,15,0.316454411
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,16,0.330394268
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,17,0.317254543
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,18,0.322323561
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,19,0.319053411
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,20,0.323995829
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,21,0.308228493
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,22,0.309616566
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,23,0.304037333
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,24,0.307348967
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,25,0.330456495
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,26,0.316124916
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,27,0.32138586
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,28,0.322451353
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,29,0.328246117
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,30,0.314736843
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,31,0.337921858
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,32,0.32187295
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,33,0.322395325
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,34,0.314373016
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,35,0.324982643
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,36,0.307367802
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,37,0.304055452
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,38,0.31593585
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,39,0.326695442
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,40,0.337883949
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,41,0.331028223
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,42,0.318024397
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,43,0.320596695
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,44,0.319375753
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,45,0.325985432
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,46,0.310338497
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,47,0.304408789
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,48,0.315811396
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,49,0.314207077
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,50,0.32060504
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,51,0.323200226
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,52,0.318942547
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,53,0.308349848
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,54,0.317190886
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,55,0.320070267
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,56,0.320256472
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,57,0.322152138
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,58,0.320104599
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,59,0.317550659
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,60,0.308551073
lung,"['RES', 'NONRES']",RES,cnv,del,supervised,61,0.317672968
